userid,test_type,assignment_count,ac_count,average_submissions_per_problem,total_submissions,average_codesize,average_codelines,average_completion_time,open_to_close_ratio,open_to_discount_ratio,timenorm_lastsubmit,ranknorm_lastsubmit,timenorm_firstsubmit,ranknorm_firstsubmit,normalized_codelines,ranknorm_codelines,normalized_codesize,ranknorm_codesize,normalized_ratio,ranknorm_ratio,error_count,score
83199,1,77,70,3.038961039,234,1115.978632,59.46581197,31980.88312,20.87877474,23.18769988,-2.942746526,12.22634692,-2.951975857,12.22634692,-21.88175655,-0.328742076,-23.26429815,-0.328742076,-26.09517491,-0.328742076,52.05676959,94
83201,1,76,75,1.447368421,110,733.2818182,28.61818182,128.6842105,20.67212272,24.25292633,-4.321496378,9.015556563,-4.321281848,9.015556563,-21.41539636,0.19560638,-23.27676754,0.19560638,-27.0432451,0.19560638,8.915303923,90
83202,1,60,50,2.233333333,134,551.6716418,27.25373134,4238.416667,18.74047542,21.75605789,-0.923633986,13.04311897,-1.318138262,13.04311897,-17.85066826,1.302616982,-19.29562146,1.302616982,-22.22850853,1.302616982,29.05085217,70
83204,1,74,72,1.972972973,146,789.9109589,39.87671233,3807.675676,21.59356318,25.71914471,-2.894570298,11.30594043,-2.856690634,11.30594043,-21.37336482,1.596481677,-23.93545741,1.596481677,-26.75819503,1.596481677,26.41968967,90
83205,1,74,73,3.189189189,236,958.3855932,57.33050847,60502.48649,13.67117331,16.69592107,-5.020208503,-3.664273711,-4.934179026,-3.664273711,-21.10648683,0.375803071,-23.41329407,0.375803071,-25.90478273,0.375803071,53.02659096,86
83207,1,78,76,2.935897436,229,1362.834061,58.03056769,135801.6923,8.875150404,6.605175251,-5.018853191,-13.30855564,-5.869476956,-13.30855564,-21.459212,0.221693628,-24.15255876,0.221693628,-27.10524558,0.221693628,46.55665179,95
83210,1,75,70,2.693333333,202,803.4306931,40.11881188,9976.546667,20.07303782,16.30027737,-1.942662946,5.366914468,-2.874167031,5.366914468,-21.0284265,-1.97316411,-24.28322804,-1.97316411,-27.04545916,-1.97316411,44.89420256,75
83211,1,83,82,3.530120482,293,919.3617747,39.23549488,40001.0241,4.214328475,-0.429846818,-4.865762376,-27.56315114,-4.83842456,-27.56315114,-22.23314611,-1.076071053,-24.71907667,-1.076071053,-29.48325089,-1.076071053,66.56417701,76
83212,1,79,79,2.35443038,186,865.1774194,38.61827957,12384.70886,17.46621916,20.035661,-2.378190744,0.494975138,-3.73225532,0.494975138,-22.17711954,0.474496854,-24.83110318,0.474496854,-27.63663723,0.474496854,32.09031264,80
83213,1,68,65,2.955882353,201,523.7960199,26.16915423,36857.80882,16.57735224,18.42791298,-1.75114538,2.818877004,-2.02910813,2.818877004,-19.36630431,-0.267946149,-21.85123523,-0.267946149,-24.42731751,-0.267946149,39.31716045,62
83215,1,76,71,3.184210526,242,704.2107438,34.74793388,20286.82895,14.66761091,16.41387957,-4.585398564,-2.508010579,-5.01736178,-2.508010579,-20.87940796,0.587755146,-23.34551077,0.587755146,-26.52311108,0.587755146,57.63199915,65
83216,1,78,68,3.051282051,238,917.5168067,41.80252101,127652.5897,8.013488683,11.05260233,-6.089978091,-8.958002311,-6.526491422,-8.958002311,-22.33125903,-1.380935032,-23.84408419,-1.380935032,-26.26436036,-1.380935032,52.67474282,94
83218,1,73,67,2.767123288,202,615.9158416,33.09405941,37904.50685,12.54244537,14.39705461,-2.506716291,-5.541311792,-2.709453697,-5.541311792,-20.25644361,-1.002732722,-23.41410364,-1.002732722,-25.95708953,-1.002732722,47.53297913,72
83219,1,74,67,3.702702703,274,818.2481752,39.97080292,54400.43243,19.04695597,17.20093941,-1.550374682,8.207323391,-2.075188369,8.207323391,-20.60043238,-0.526527208,-22.89795091,-0.526527208,-26.2134777,-0.526527208,72.4618763,72
83228,1,92,88,1.956521739,180,537.8,30.63888889,42152.76087,16.57936281,18.26527901,-5.080351473,-8.207200084,-3.422780149,-8.207200084,-27.48602934,1.264439158,-30.91515393,1.264439158,-32.98202568,1.264439158,33.04055094,86
83234,1,71,68,3.422535211,243,925.4115226,44.79835391,37689.92958,14.05568883,17.53931918,-2.791294393,1.059749989,-2.675045817,1.059749989,-19.74128649,1.229390389,-21.73860357,1.229390389,-24.04462532,1.229390389,61.01182469,84
83235,1,78,72,2.128205128,166,650.7831325,35.20481928,30608.96154,18.12831616,20.70629273,-1.96116615,1.290781167,-2.040244339,1.290781167,-21.73356387,2.142441571,-24.62494397,2.142441571,-28.224914,2.142441571,32.62269599,81
